app_id,uuid,name,type,permalink,cb_url,rank,created_at,updated_at,acquiree_uuid,acquiree_name,acquiree_cb_url,acquiree_country_code,acquiree_state_code,acquiree_region,acquiree_city,acquirer_uuid,acquirer_name,acquirer_cb_url,acquirer_country_code,acquirer_state_code,acquirer_region,acquirer_city,acquisition_type,acquired_on,price_usd,price,price_currency_code
co.haptik,f36b8178-855d-4e74-9ab7-a14c258496bc,Haptik acquired by Reliance Jio Infocomm Limited,acquisition,reliance-jio-infocomm-ltd-234-acquires-haptik--f36b8178,https://www.crunchbase.com/acquisition/reliance-jio-infocomm-ltd-234-acquires-haptik--f36b8178,8081,2019-04-01 13:40:00,2019-07-19 16:04:23,e0ac6c50-50ed-65cd-8d00-8adac2eead2b,Haptik,https://www.crunchbase.com/organization/haptik,IND,,Maharashtra,Mumbai,1383dbc0-9120-2d67-30a8-a7c652bfa95b,Reliance Jio Infocomm Limited,https://www.crunchbase.com/organization/reliance-jio-infocomm-ltd-234,IND,,Maharashtra,Mumbai,acquisition,2019-03-29,100000000,100000000,USD
com.iconjob.android,e69eaa47-8f9a-43f8-980a-fb5668e35558,Worki acquired by Mail.Ru Group,acquisition,mail-ru-acquires-iconjob--e69eaa47,https://www.crunchbase.com/acquisition/mail-ru-acquires-iconjob--e69eaa47,2671,2019-05-29 09:49:22,2019-05-29 09:49:22,717d441e-941a-c3ee-aa44-b5f8cb1cb685,Worki,https://www.crunchbase.com/organization/iconjob,RUS,,Moscow City,Moscow,f619cd75-059f-abc2-ca59-0bf99de0403a,Mail.Ru Group,https://www.crunchbase.com/organization/mail-ru,RUS,,Chukot,Leningradskiy,acquisition,2019-05-28,,,
com.art.studio.baby.girl.fashion.suit,45b64c2b-c042-4a63-a720-86253dbe951b,21Run acquired by All4running,acquisition,all4running-acquires-21run--45b64c2b,https://www.crunchbase.com/acquisition/all4running-acquires-21run--45b64c2b,7119,2019-06-19 08:59:07,2019-06-19 08:59:07,a406db87-f120-4b8d-9d25-6fc80f82409e,21Run,https://www.crunchbase.com/organization/21run,,,,,34518a7f-2090-48e2-a87e-1e6df722c546,All4running,https://www.crunchbase.com/organization/all4running,NLD,,Noord-Holland,Alkmaar,acquisition,2019-06-18,,,
com.tumblr,2d74cfe2-69ef-48aa-ac09-514a44fd96a9,Tumblr Inc. acquired by Automattic,acquisition,automattic-acquires-tumblr--2d74cfe2,https://www.crunchbase.com/acquisition/automattic-acquires-tumblr--2d74cfe2,2115,2019-08-13 16:25:56,2019-08-13 16:25:56,9f1be266-fd44-e9a5-6215-c8fc40626a2a,Tumblr Inc.,https://www.crunchbase.com/organization/tumblr,USA,NY,New York,New York,190202d8-f1ac-b380-d224-589e9ad79848,Automattic,https://www.crunchbase.com/organization/automattic,USA,CA,California,San Francisco,acquisition,2019-08-12,3000000,3000000,USD
