app_id,uuid,name,type,permalink,cb_url,rank,created_at,updated_at,acquiree_uuid,acquiree_name,acquiree_cb_url,acquiree_country_code,acquiree_state_code,acquiree_region,acquiree_city,acquirer_uuid,acquirer_name,acquirer_cb_url,acquirer_country_code,acquirer_state_code,acquirer_region,acquirer_city,acquisition_type,acquired_on,price_usd,price,price_currency_code
com.two31play.mahjongcity,ffafd098-3144-4836-b3ad-a923ad70553a,231 Play acquired by Jam City,acquisition,jam-city-acquires-231-play--ffafd098,https://www.crunchbase.com/acquisition/jam-city-acquires-231-play--ffafd098,10110,2019-04-05 09:03:29,2019-04-05 09:03:29,3d306270-3908-49f6-bbe3-5b97b96cb0a1,231 Play,https://www.crunchbase.com/organization/231-play,DEU,,Berlin,Berlin,ea677a73-51db-68eb-2b71-0a3eabe63568,Jam City,https://www.crunchbase.com/organization/jam-city,USA,CA,California,Culver City,acquisition,2019-04-04,,,
com.asiminc.flashlight.torch,390fde1c-0471-441b-83d1-fa69ed4befcc,R2C Online acquired by Keyfuels,acquisition,keyfuels-acquires-r2c-online--390fde1c,https://www.crunchbase.com/acquisition/keyfuels-acquires-r2c-online--390fde1c,9235,2019-04-19 06:37:09,2019-04-19 06:37:09,c9befca8-b19f-4b31-93c9-990812f554a6,R2C Online,https://www.crunchbase.com/organization/r2c-online,GBR,,Sheffield,Sheffield,c0a8b6be-519e-4662-82ae-27498d0cd969,Keyfuels,https://www.crunchbase.com/organization/keyfuels,,,,,acquisition,2019-04-04,,,
com.telepizza,afd882f2-ebf7-4bc9-9e11-b69dcb3be5b9,Telepizza acquired by Kohlberg Kravis Roberts,acquisition,kkr-acquires-telepizza-2--afd882f2,https://www.crunchbase.com/acquisition/kkr-acquires-telepizza-2--afd882f2,8262,2019-05-16 11:27:29,2019-05-16 11:27:29,ca788e9a-627f-ce72-9292-4671624e4c34,Telepizza,https://www.crunchbase.com/organization/telepizza-2,ESP,,Madrid,Madrid,6c93ebd7-3558-5603-daaf-074652d0e1bb,Kohlberg Kravis Roberts,https://www.crunchbase.com/organization/kkr,USA,NY,New York,New York,lbo,2019-05-09,,,
com.shopkick.app,f5ba1896-d3f2-4c34-aedd-08a9d28d278a,Shopkick acquired by Trax,acquisition,traxretail-acquires-shopkick--f5ba1896,https://www.crunchbase.com/acquisition/traxretail-acquires-shopkick--f5ba1896,6816,2019-06-25 07:17:27,2019-06-25 07:17:27,b8c2de99-9640-a4bb-5acd-cf625d3ffe09,Shopkick,https://www.crunchbase.com/organization/shopkick,USA,CA,California,Redwood City,8cf1ff29-6259-2c82-97da-29582f74ff5b,Trax,https://www.crunchbase.com/organization/traxretail,SGP,,Central Region,Singapore,acquisition,2019-06-24,200000000,200000000,USD
com.trycaviar.customer,e662638a-1575-4b7a-82ac-61146ba0258e,Caviar acquired by DoorDash,acquisition,doordash-acquires-caviar--e662638a,https://www.crunchbase.com/acquisition/doordash-acquires-caviar--e662638a,2265,2019-08-01 22:53:35,2019-08-01 22:53:35,36aab34c-1cb1-e96d-2e5a-e298d147909c,Caviar,https://www.crunchbase.com/organization/caviar,USA,CA,California,San Francisco,7c298009-3d51-07f5-94c7-1fa11cd24a7c,DoorDash,https://www.crunchbase.com/organization/doordash,USA,CA,California,San Francisco,acquisition,2019-08-01,410000000,410000000,USD
